Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,First,Last,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
Thomas Di Pauli\dipauth01,25,PIT,C,2,0,0,0,-3,10,-0.1,0,0,0,0,0,0,0,2,0.0,12,5:59,1,4,0,0,,Thomas,DiPauli,13,16,44.8,-5.5,10,11,47.6,-5.2,0.0,66.7,66.7,71.4,28.6,5:59,0,0,-0.5,3,66.7
Tim Heed\heedti01,29,SJS,D,38,1,4,5,-10,2,0.6,1,0,0,0,3,1,0,44,2.3,494,13:00,30,16,0,1,0.0,Tim,Heed,432,373,53.7,5.1,313,276,53.1,4.9,4.4,89.3,93.7,54.5,45.5,11:26,10,17,1.8,94,46.8
Timo Meier\meierti01,23,SJS,RW,70,22,27,49,-22,42,4.6,20,2,0,2,20,7,0,199,11.1,1210,17:17,38,155,12,25,32.4,Timo,Meier,1007,896,52.9,3.8,746,665,52.9,4.3,8.5,86.7,95.1,54.7,45.3,13:58,39,31,3.8,341,58.4
Timothy Gettinger\gettiti01,21,NYR,LW,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,3,0.0,17,8:23,1,5,0,2,0.0,Timothy,Gettinger,11,12,47.8,3.0,10,7,58.8,15.5,11.1,100.0,111.1,55.6,44.4,7:56,0,0,0.5,5,60.0
Timothy Liljegren\liljeti01,20,TOR,D,11,0,1,1,-5,2,-0.2,0,0,0,0,1,0,0,2,0.0,113,10:18,10,8,0,0,,Timothy,Liljegren,68,86,44.2,-6.1,47,69,40.5,-9.8,8.1,81.4,89.5,54.1,45.9,9:43,0,6,-1.7,9,22.2
Tobias Bjornfot\bjornto01,18,LAK,D,3,0,0,0,-4,0,-0.3,0,0,0,0,0,0,0,0,,39,12:58,0,0,0,0,,Tobias,Bjornfot,22,38,36.7,-19.6,15,29,34.1,-25.2,0.0,78.9,78.9,37.9,62.1,11:59,0,0,-1.3,0,
Tobias Rieder\riedeto01,27,CGY,C,55,4,6,10,-12,6,0.0,3,0,1,0,5,0,1,77,5.2,610,11:05,26,30,11,42,20.8,Tobias,Rieder,508,541,48.4,-2.8,384,403,48.8,-1.6,4.2,91.8,96.0,45.7,54.3,9:20,17,8,-2.4,129,59.7
Tom Kuhnhackl\kuhnhto01,28,NYI,RW,28,3,3,6,-4,2,0.3,3,0,0,1,2,0,1,28,10.7,316,11:18,22,31,0,0,,Tom,Kuhnhackl,233,328,41.5,-5.6,170,227,42.8,-4.5,5.3,90.8,96.2,49.0,51.0,9:44,4,11,-4.2,46,60.9
Tom Wilson\wilsoto01,25,WSH,RW,68,21,23,44,-3,93,4.2,15,5,1,5,20,2,1,154,13.6,1242,18:16,58,253,18,39,31.6,Tom,Wilson,990,920,51.8,-0.5,722,703,50.7,-2.1,11.5,87.3,98.8,51.4,48.6,14:18,25,40,1.8,255,60.4
Tomas Hertl\hertlto01,26,SJS,C,48,16,20,36,-18,16,3.3,12,2,2,1,15,5,0,117,13.7,885,18:27,25,29,433,357,54.8,Tomas,Hertl,693,617,52.9,4.0,500,465,51.8,3.7,10.0,84.6,94.7,49.1,50.9,13:52,25,18,2.0,198,59.1
Tomas Jurco\jurcoto01,27,EDM,RW,12,0,2,2,1,4,0.1,0,0,0,0,2,0,0,7,0.0,120,9:59,3,4,2,2,50.0,Tomas,Jurco,101,102,49.8,1.7,75,71,51.4,2.1,8.3,91.7,100.0,63.4,36.6,9:44,6,2,-0.3,20,35.0
Tomas Nosek\nosekto01,27,VEG,C,67,8,7,15,-2,20,0.9,7,0,1,1,7,0,0,93,8.6,778,11:36,38,91,217,216,50.1,Tomas,Nosek,656,580,53.1,-1.6,493,426,53.6,-1.3,6.8,92.1,98.9,54.0,46.0,10:15,22,16,8.4,154,60.4
Tomas Tatar\tatarto01,29,MTL,C,68,22,39,61,5,36,7.0,14,8,0,1,33,6,0,162,13.6,1108,16:18,24,79,9,16,36.0,Tomas,Tatar,1224,791,60.7,8.6,917,609,60.1,8.2,9.2,88.4,97.7,52.4,47.6,13:58,31,29,17.5,264,61.4
Torey Krug\krugto01,28,BOS,D,61,9,40,49,-4,33,6.7,7,2,0,4,14,26,0,144,6.3,1250,20:29,48,36,0,0,,Torey,Krug,1048,836,55.6,6.3,769,650,54.2,4.3,8.2,89.2,97.5,68.4,31.6,16:21,22,48,8.6,273,52.7
Travis Boyd\boydtr01,26,WSH,C,24,3,7,10,9,2,1.1,3,0,0,0,6,1,0,26,11.5,282,11:45,9,14,50,69,42.0,Travis,Boyd,224,189,54.2,2.9,163,146,52.8,2.1,12.1,95.2,107.3,52.6,47.4,10:33,7,6,0.6,36,72.2
Travis Dermott\dermotr01,23,TOR,D,56,4,7,11,14,37,2.9,4,0,0,1,7,0,0,65,6.2,969,17:19,58,76,0,0,,Travis,Dermott,810,817,49.8,-2.3,621,623,49.9,-1.7,11.0,92.3,103.3,52.7,47.3,16:06,23,44,2.6,121,53.7
Travis Hamonic\hamontr01,29,CGY,D,50,3,9,12,-3,27,2.5,3,0,0,0,9,0,0,83,3.6,1060,21:12,110,39,0,0,,Travis,Hamonic,887,928,48.9,-2.4,657,724,47.6,-3.0,9.0,90.8,99.8,45.6,54.4,17:40,21,36,-4.4,168,49.4
Travis Konecny\konectr01,22,PHI,C,66,24,37,61,-1,28,6.7,19,5,0,3,19,18,0,141,17.0,1109,16:48,30,63,24,25,49.0,Travis,Konecny,975,778,55.6,6.1,731,610,54.5,4.9,9.0,90.2,99.3,49.8,50.2,13:50,29,47,8.5,240,58.8
Travis Sanheim\sanhetr01,23,PHI,D,69,8,17,25,4,32,4.7,8,0,0,0,13,4,0,110,7.3,1391,20:09,79,41,0,0,,Travis,Sanheim,1151,1067,51.9,1.0,864,817,51.4,0.5,10.0,89.7,99.7,49.4,50.6,17:20,22,53,5.6,226,48.7
Travis Zajac\zajactr01,34,NJD,C,69,9,16,25,-12,28,1.2,7,1,1,1,14,0,2,72,12.5,1180,17:06,39,58,576,514,52.8,Travis,Zajac,833,978,46.0,0.2,634,726,46.6,-0.1,7.8,89.9,97.8,45.2,54.8,13:26,36,17,-6.1,124,58.9
Trent Frederic\fredetr01,21,BOS,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,13,6:26,0,8,0,0,,Trent,Frederic,2,19,9.5,-37.1,1,15,6.3,-44.7,,88.9,,57.1,42.9,6:26,0,0,-0.5,1,100.0
Trevor Carrick\carritr01,25,SJS,D,3,0,0,0,0,5,0.0,0,0,0,0,0,0,0,1,0.0,17,5:47,0,1,0,0,,Trevor,Carrick,9,12,42.9,-15.0,4,10,28.6,-24.8,0.0,100.0,100.0,85.7,14.3,4:49,0,2,-0.3,3,33.3
Trevor Daley\daleytr01,36,DET,D,43,0,7,7,-22,20,0.1,0,0,0,0,5,2,0,37,0.0,673,15:39,44,9,0,0,,Trevor,Daley,436,628,41.0,-5.3,339,491,40.8,-4.6,6.4,89.2,95.6,45.1,54.9,14:04,5,21,-10.5,76,48.7
Trevor Lewis\lewistr01,33,LAK,C,56,6,6,12,-7,16,0.6,6,0,0,1,6,0,0,92,6.5,666,11:54,22,68,45,71,38.8,Trevor,Lewis,597,546,52.2,-0.4,470,417,53.0,0.8,6.7,90.3,97.0,51.2,48.8,10:58,11,14,-1.7,150,61.3
Trevor van Riemsdyk\vanritr01,28,CAR,D,49,1,7,8,-7,10,1.0,1,0,0,0,7,0,0,58,1.7,728,14:52,37,21,0,0,,Trevor,vanRiemsdyk,627,553,53.1,-1.1,463,434,51.6,-2.1,7.1,90.0,97.1,53.0,47.0,13:29,13,17,-0.3,113,51.3
Troy Brouwer\brouwtr01,34,STL,RW,13,1,0,1,1,7,0.0,1,0,0,0,0,0,0,12,8.3,123,9:28,6,24,1,1,50.0,Troy,Brouwer,88,126,41.1,-8.4,66,96,40.7,-9.8,8.0,95.8,103.8,49.2,50.8,9:20,1,2,-1.2,21,57.1
Troy Stecher\stechtr01,25,VAN,D,69,5,12,17,10,32,3.8,5,0,0,0,12,0,0,86,5.8,1059,15:21,70,69,0,0,,Troy,Stecher,975,1028,48.7,0.4,738,759,49.3,0.3,8.4,93.7,102.2,39.3,60.7,14:34,16,25,-3.4,177,48.6
Troy Terry\terrytr01,22,ANA,C,47,4,11,15,-5,6,0.7,4,0,0,0,9,2,0,73,5.5,682,14:31,9,3,3,5,37.5,Troy,Terry,509,516,49.7,1.3,397,401,49.7,1.5,6.5,91.1,97.7,57.2,42.8,12:28,31,19,-1.2,140,52.1
Tucker Poolman\poolmtu01,26,WPG,D,57,4,12,16,-1,24,2.8,3,0,1,1,12,0,0,64,6.3,995,17:27,59,58,0,0,,Tucker,Poolman,814,918,47.0,-2.6,604,734,45.1,-3.8,11.1,90.6,101.6,50.5,49.5,16:31,14,46,-12.9,149,43.0
Tyler Benson\bensoty01,21,EDM,LW,7,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,5,0.0,73,10:23,1,3,1,0,100.0,Tyler,Benson,60,66,47.6,-1.6,43,45,48.9,0.3,12.1,85.7,97.8,42.2,57.8,9:53,2,3,-0.8,13,38.5
Tyler Bertuzzi\bertuty01,24,DET,LW,71,21,27,48,-23,40,4.3,18,3,0,1,16,11,0,129,16.3,1371,19:19,30,71,4,2,66.7,Tyler,Bertuzzi,1054,1075,49.5,5.1,802,836,49.0,4.4,8.7,89.6,98.3,51.6,48.4,15:51,25,57,-3.0,222,58.1
Tyler Bozak\bozakty01,33,STL,C,67,13,16,29,0,10,2.6,10,2,1,2,14,2,0,109,11.9,1026,15:19,33,32,363,297,55.0,Tyler,Bozak,717,702,50.5,-0.2,539,542,49.9,-0.8,7.3,92.7,100.1,50.8,49.2,12:07,29,20,5.4,158,69.0
Tyler Graovac\graovty01,26,VAN,C,8,2,0,2,-2,2,0.2,0,2,0,0,0,0,0,5,40.0,50,6:16,3,6,8,14,36.4,Tyler,Graovac,34,37,47.9,-0.2,21,28,42.9,-4.4,0.0,90.0,90.0,31.6,68.4,5:15,1,2,-0.9,9,55.6
Tyler Johnson\johnsty01,29,TBL,C,65,14,17,31,9,16,3.1,13,1,0,2,11,6,0,113,12.4,945,14:33,22,62,173,180,49.0,Tyler,Johnson,740,710,51.0,-0.8,559,546,50.6,-0.4,9.7,94.1,103.8,51.7,48.3,12:13,14,20,4.4,190,59.5
Tyler Lewington\lewinty01,25,WSH,D,6,0,0,0,-2,17,-0.1,0,0,0,0,0,0,0,2,0.0,61,10:10,7,13,0,0,,Tyler,Lewington,53,55,49.1,1.3,36,36,50.0,0.3,5.0,88.5,93.5,52.8,47.2,9:46,1,3,-0.8,6,33.3
Tyler Motte\mottety01,24,VAN,C,34,4,4,8,-10,10,0.0,4,0,0,0,4,0,0,38,10.5,446,13:07,37,118,8,11,42.1,Tyler,Motte,292,450,39.4,-10.2,225,317,41.5,-9.0,6.5,92.1,98.6,20.8,79.2,11:05,16,9,-8.8,76,50.0
Tyler Myers\myersty01,29,VAN,D,68,6,15,21,-7,49,3.3,4,1,1,1,9,6,0,134,4.5,1463,21:30,108,99,0,0,,Tyler,Myers,1200,1267,48.6,0.5,899,936,49.0,0.0,7.9,90.8,98.7,53.1,46.9,18:21,42,41,-3.9,263,51.0
Tyler Pitlick\pitlity01,28,PHI,C,63,8,12,20,11,12,1.9,8,0,0,1,12,0,0,76,10.5,759,12:03,42,132,5,13,27.8,Tyler,Pitlick,535,622,46.2,-6.3,405,457,47.0,-5.0,11.9,92.1,104.0,46.5,53.5,10:53,28,15,-0.4,127,59.8
Tyler Seguin\seguity01,28,DAL,C,69,17,33,50,-2,22,4.9,14,3,0,6,21,12,0,245,6.9,1321,19:09,31,90,538,387,58.2,Tyler,Seguin,1132,1123,50.2,1.2,830,830,50.0,1.1,7.6,92.3,99.9,51.0,49.0,15:44,34,52,4.7,395,62.0
Tyson Barrie\barrity01,28,TOR,D,70,5,34,39,-7,16,4.5,4,1,0,0,23,11,0,169,3.0,1531,21:53,76,47,0,0,,Tyson,Barrie,1466,1259,53.8,3.1,1078,991,52.1,1.4,8.9,90.2,99.1,58.2,41.8,18:58,16,62,0.6,361,46.8
Tyson Jost\jostty01,21,COL,C,67,8,15,23,11,22,2.0,7,1,0,0,11,4,0,115,7.0,855,12:46,18,58,85,170,33.3,Tyson,Jost,691,647,51.6,-0.1,491,473,50.9,-0.6,8.4,93.8,102.2,47.0,53.0,10:38,17,12,5.2,189,60.8
Urho Vaakanainen\vaakaur01,21,BOS,D,5,0,0,0,2,0,0.2,0,0,0,0,0,0,0,2,0.0,84,16:51,3,8,0,0,,Urho,Vaakanainen,50,79,38.8,-9.7,39,65,37.5,-14.3,12.0,97.6,109.6,54.3,45.7,15:16,1,3,-0.7,9,22.2
Valentin Zykov\zykovva01,24,VEG,LW,15,1,3,4,-2,6,0.1,0,1,0,0,3,0,0,19,5.3,183,12:13,3,20,0,1,0.0,Valentin,Zykov,107,128,45.5,-8.2,74,102,42.0,-12.1,9.1,90.7,99.8,54.7,45.3,10:50,5,12,-1.3,31,61.3
Valeri Nichushkin\nichuva01,24,COL,RW,65,13,14,27,26,14,3.4,11,1,1,3,14,0,0,113,11.5,915,14:04,22,84,2,3,40.0,Valeri,Nichushkin,812,648,55.6,5.3,574,469,55.0,4.8,10.8,93.8,104.6,45.0,55.0,11:45,38,18,11.0,180,62.8
Valtteri Filppula\filppva01,35,DET,C,70,6,15,21,-42,24,-0.4,4,1,1,0,11,4,0,63,9.5,1163,16:37,31,28,324,398,44.9,Valtteri,Filppula,705,885,44.3,-2.7,545,707,43.5,-3.6,6.8,87.1,93.9,48.7,51.3,12:54,17,43,-11.3,104,60.6
Victor Hedman\hedmavi01,29,TBL,D,66,11,44,55,27,31,9.5,7,4,0,3,26,18,0,155,7.1,1588,24:04,98,73,0,0,,Victor,Hedman,1175,1059,52.6,0.7,913,815,52.8,2.1,12.7,91.9,104.5,53.6,46.4,18:14,47,40,6.1,306,50.7
Victor Mete\metevi01,21,MTL,D,51,4,7,11,5,20,2.6,4,0,0,1,6,1,0,57,7.0,816,16:00,60,20,0,0,,Victor,Mete,783,704,52.7,-2.4,584,532,52.3,-2.3,8.5,92.6,101.1,45.8,54.2,15:08,8,35,2.6,121,47.1
Victor Olofsson\olofsvi01,24,BUF,RW,54,20,22,42,-1,6,4.7,9,11,0,4,16,6,0,127,15.7,993,18:23,16,10,1,1,50.0,Victor,Olofsson,761,752,50.3,0.5,589,598,49.6,0.2,10.3,90.6,100.9,59.4,40.6,14:53,12,26,-2.1,228,55.7
Victor Rask\raskvi01,26,MIN,C,43,5,8,13,7,6,1.3,5,0,0,2,8,0,0,38,13.2,451,10:29,8,26,120,152,44.1,Victor,Rask,418,375,52.7,4.4,317,285,52.7,3.8,8.9,93.7,102.6,55.8,44.2,10:04,13,5,3.5,63,60.3
Viktor Arvidsson\arvidvi01,26,NSH,LW,57,15,13,28,-4,26,2.6,11,4,0,1,9,4,0,127,11.8,924,16:12,24,27,11,8,57.9,Viktor,Arvidsson,750,748,50.1,-0.7,558,569,49.5,-2.5,8.2,92.0,100.1,54.5,45.5,13:09,15,24,-5.7,263,48.3
Ville Heinola\heinovi01,18,WPG,D,8,1,4,5,3,4,1.0,1,0,0,0,3,1,0,10,10.0,145,18:04,5,3,0,0,,Ville,Heinola,117,121,49.2,-0.9,88,100,46.8,-1.9,12.9,93.3,106.2,59.5,40.5,17:05,3,15,-1.8,18,55.6
Vince Dunn\dunnvi02,23,STL,D,71,9,14,23,15,27,5.3,5,4,0,1,8,6,0,138,6.5,1155,16:16,47,50,0,0,,Vince,Dunn,985,795,55.3,6.6,737,625,54.1,5.0,8.9,92.6,101.5,57.2,42.8,14:29,13,31,10.9,268,51.5
Vinnie Hinostroza\hinosvi01,25,ARI,C,68,5,17,22,1,14,1.5,5,0,0,0,15,1,1,132,3.8,891,13:06,26,51,26,35,42.6,Vinnie,Hinostroza,806,822,49.5,1.3,594,626,48.7,0.2,6.9,92.8,99.7,42.5,57.5,12:03,30,20,-2.8,209,63.2
Vitaly Abramov\abramvi01,21,OTT,RW,2,1,0,1,0,2,0.2,1,0,0,0,0,0,0,3,33.3,12,5:47,0,0,0,0,,Vitaly,Abramov,11,17,39.3,-14.7,9,12,42.9,-11.8,16.7,87.5,104.2,33.3,66.7,5:47,0,1,-0.3,4,75.0
Vladimir Sobotka\sobotvl01,32,BUF,C,16,1,2,3,2,4,0.1,1,0,0,0,2,0,0,23,4.3,228,14:16,7,26,39,31,55.7,Vladimir,Sobotka,155,195,44.3,-4.4,117,147,44.3,-3.8,9.8,94.3,104.1,39.8,60.2,12:36,3,3,-2.3,32,71.9
Vladimir Tarasenko\tarasvl01,28,STL,RW,10,3,7,10,-2,0,1.0,2,1,0,0,5,2,0,26,11.5,162,16:11,7,17,0,0,,Vladimir,Tarasenko,122,110,52.6,4.4,94,82,53.4,5.1,11.4,86.2,97.6,58.7,41.3,13:43,3,5,0.5,47,55.3
Vladislav Gavrikov\gavrivl01,24,CBJ,D,69,5,13,18,1,18,4.3,5,0,0,1,13,0,0,81,6.2,1310,18:59,92,79,0,0,,Vladislav,Gavrikov,1078,1120,49.0,0.4,845,812,51.0,0.9,7.5,92.1,99.6,41.7,58.3,17:10,16,33,6.1,159,50.9
Vladislav Kamenev\kamenvl01,23,COL,LW,38,1,7,8,-2,8,0.2,1,0,0,1,5,2,0,32,3.1,341,8:59,16,34,57,50,53.3,Vladislav,Kamenev,246,249,49.7,-2.7,174,176,49.7,-2.6,5.8,91.5,97.3,52.5,47.5,7:42,18,7,-1.1,64,50.0
Warren Foegele\foegewa01,23,CAR,LW,68,13,17,30,9,34,3.1,10,0,3,1,17,0,0,129,10.1,932,13:43,17,64,18,21,46.2,Warren,Foegele,870,731,54.3,0.2,677,577,54.0,0.7,8.7,91.3,100.0,49.2,50.8,12:30,39,30,8.7,208,62.0
Will Butcher\butchwi01,25,NJD,D,56,4,17,21,-8,6,3.1,4,0,0,1,16,1,0,62,6.5,1003,17:55,75,31,0,0,,Will,Butcher,852,947,47.4,2.1,672,711,48.6,2.6,8.7,90.4,99.1,55.0,45.0,16:06,10,27,-1.6,148,41.9
William Carrier\carriwi01,25,VEG,LW,71,7,12,19,0,39,1.4,7,0,0,1,12,0,0,99,7.1,701,9:52,11,213,9,5,64.3,William,Carrier,679,584,53.8,-0.9,517,435,54.3,-0.5,7.6,91.5,99.1,58.0,42.0,9:44,22,8,9.1,158,62.7
William Karlsson\karlswi01,27,VEG,C,63,15,31,46,11,16,4.6,11,2,2,1,22,6,3,138,10.9,1189,18:52,38,40,491,455,51.9,William,Karlsson,1024,844,54.8,0.9,765,630,54.8,0.6,8.8,90.9,99.7,55.0,45.0,14:57,54,37,10.9,251,55.0
William Lagesson\lageswi01,23,EDM,D,8,0,0,0,-4,0,-0.2,0,0,0,0,0,0,0,8,0.0,95,11:52,12,4,0,0,,William,Lagesson,79,84,48.5,-0.9,56,62,47.5,-2.0,4.9,87.0,91.8,46.3,53.7,10:31,0,7,-0.5,19,42.1
William Nylander\nylanwi01,23,TOR,C,68,31,28,59,-2,12,6.7,22,9,0,7,20,8,0,197,15.7,1238,18:13,14,9,106,106,50.0,William,Nylander,1137,934,54.9,4.1,854,744,53.4,3.1,9.4,89.4,98.8,60.4,39.6,15:08,42,41,6.5,295,66.8
Xavier Ouellet\ouellxa01,26,MTL,D,12,0,2,2,0,4,0.3,0,0,0,0,2,0,0,8,0.0,167,13:54,15,24,0,0,,Xavier,Ouellet,145,130,52.7,-2.2,104,100,51.0,-3.4,9.7,90.9,100.6,53.5,46.5,12:52,1,4,0.6,28,28.6
Yakov Trenin\treniya01,23,NSH,C,21,2,4,6,1,9,0.5,2,0,0,0,4,0,0,25,8.0,204,9:44,9,46,3,1,75.0,Yakov,Trenin,195,194,50.1,1.0,137,124,52.5,2.2,10.0,90.2,100.2,42.2,57.8,9:42,7,3,-0.1,45,55.6
Yanni Gourde\gourdya01,28,TBL,C,70,10,20,30,-5,49,2.0,7,1,2,5,14,5,1,110,9.1,985,14:04,20,78,93,79,54.1,Yanni,Gourde,798,702,53.2,1.4,587,543,51.9,0.8,7.6,89.9,97.5,44.7,55.3,11:41,48,14,2.2,176,62.5
Yannick Weber\weberya01,31,NSH,D,41,1,2,3,-1,14,0.6,1,0,0,1,2,0,0,45,2.2,574,14:01,38,37,0,0,,Yannick,Weber,522,595,46.7,-4.4,394,451,46.6,-5.0,7.6,93.3,100.9,46.6,53.4,13:40,11,11,-5.8,94,47.9
Zac Rinaldo\rinalza01,29,CGY,C,19,3,2,5,-1,34,0.5,3,0,0,2,2,0,0,19,15.8,157,8:16,8,69,0,0,,Zac,Rinaldo,135,185,42.2,-7.0,107,146,42.3,-6.7,7.8,92.5,100.2,47.0,53.0,8:14,5,5,-3.3,28,67.9
Zach Aston-Reese\astonza01,25,PIT,C,57,6,7,13,6,28,0.8,5,0,1,0,7,0,0,98,6.1,822,14:26,30,136,7,16,30.4,Zach,Aston-Reese,584,565,50.8,0.2,436,418,51.1,-0.3,7.3,93.0,100.3,30.9,69.1,12:16,20,21,6.4,157,62.4
Zach Hyman\hymanza01,27,TOR,C,51,21,16,37,13,23,4.5,17,3,1,1,13,3,0,106,19.8,974,19:06,23,52,70,90,43.8,Zach,Hyman,885,790,52.8,1.9,668,601,52.6,2.3,12.0,90.3,102.3,51.6,48.4,16:05,32,16,7.7,189,56.1
Zach Parise\parisza01,35,MIN,LW,69,25,21,46,-11,8,4.7,12,12,1,4,15,6,0,155,16.1,1187,17:12,38,27,41,36,53.2,Zach,Parise,905,943,49.0,-0.7,672,702,48.9,-1.2,9.2,90.1,99.3,52.5,47.5,13:20,21,22,-0.4,238,65.1
Zach Sanford\sanfoza01,25,STL,LW,58,16,14,30,13,28,3.9,15,1,0,3,14,0,0,90,17.8,797,13:44,32,109,1,8,11.1,Zach,Sanford,649,605,51.8,1.8,512,483,51.5,2.0,10.3,92.0,102.3,54.0,46.0,12:23,18,19,2.2,159,56.6
Zach Trotman\trotmza01,29,PIT,D,8,0,0,0,-1,4,0.0,0,0,0,0,0,0,0,11,0.0,118,14:43,10,21,0,0,,Zach,Trotman,99,84,54.1,0.1,78,59,56.9,1.8,6.5,89.6,96.0,64.5,35.5,13:36,0,6,-0.7,29,37.9
Zach Werenski\werenza01,22,CBJ,D,63,20,21,41,9,10,9.1,14,5,1,4,13,8,0,187,10.7,1511,23:59,58,36,0,0,,Zach,Werenski,1144,1147,49.9,2.4,882,846,51.0,1.5,9.2,91.6,100.8,58.7,41.3,19:04,32,47,3.6,334,56.0
Zach Whitecloud\whiteza01,23,VEG,D,16,0,1,1,3,4,0.5,0,0,0,0,1,0,0,9,0.0,229,14:19,16,10,0,0,,Zach,Whitecloud,199,126,61.2,4.4,151,91,62.4,4.9,9.9,90.9,100.8,69.8,30.2,13:17,8,1,4.7,29,31.0
Zachary Senyshyn\senysza01,22,BOS,RW,4,0,2,2,1,0,0.2,0,0,0,0,2,0,0,1,0.0,34,8:26,1,2,1,0,100.0,Zachary,Senyshyn,30,22,57.7,4.7,24,17,58.5,8.3,9.5,100.0,109.5,46.2,53.8,8:22,1,1,0.9,4,25.0
Zack Kassian\kassiza01,29,EDM,RW,59,15,19,34,0,69,3.6,15,0,0,1,19,0,0,99,15.2,924,15:40,8,157,1,2,33.3,Zack,Kassian,810,873,48.1,1.2,626,668,48.4,0.6,11.2,89.8,101.0,54.8,45.2,15:10,26,45,3.0,164,60.4
Zack MacEwen\macewza01,23,VAN,C,17,5,1,6,6,20,1.0,5,0,0,0,1,0,0,17,29.4,163,9:37,5,41,1,1,50.0,Zack,MacEwen,135,180,42.9,-4.2,103,133,43.6,-3.0,15.7,95.8,111.5,46.3,53.7,9:14,4,8,-2.2,31,54.8
Zack Smith\smithza01,31,CHI,C,50,4,7,11,2,29,0.6,3,0,1,1,6,0,1,43,9.3,589,11:47,18,112,88,102,46.3,Zack,Smith,406,487,45.5,-4.1,284,370,43.4,-5.9,7.9,94.4,102.3,41.5,58.5,10:21,21,14,-5.7,76,56.6
Zdeno Chara\charazd01,42,BOS,D,68,5,9,14,26,60,5.1,5,0,0,2,9,0,0,86,5.8,1429,21:01,101,78,0,0,,Zdeno,Chara,1012,1164,46.5,-6.5,793,887,47.2,-5.6,10.9,93.9,104.8,35.7,64.3,17:27,26,52,-4.6,155,55.5
Zemgus Girgensons\girgeze01,26,BUF,C,69,12,7,19,-1,10,1.6,11,0,1,1,7,0,0,85,14.1,952,13:48,20,110,30,43,41.1,Zemgus,Girgensons,605,634,48.8,-0.7,471,493,48.9,0.0,8.1,92.3,100.4,38.1,61.9,11:36,13,11,-4.5,144,59.0
