Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,First,Last,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
Ryan Pulock\pulocry01,25,NYI,D,68,10,25,35,8,14,6.8,7,3,0,3,20,5,0,163,6.1,1524,22:24,139,110,0,0,,Ryan,Pulock,1100,1353,44.8,-2.9,823,950,46.4,-0.9,10.8,90.7,101.5,43.7,56.3,18:47,15,64,-0.2,315,51.7
Ryan Reaves\reavery01,33,VEG,RW,71,8,7,15,-5,47,0.9,8,0,0,1,7,0,0,61,13.1,720,10:09,24,316,24,28,46.2,Ryan,Reaves,671,583,53.5,-1.2,504,429,54.0,-0.9,7.0,91.3,98.2,58.0,42.0,9:53,17,7,6.3,99,61.6
Ryan Strome\stromry01,26,NYR,C,70,18,41,59,21,48,5.9,15,3,0,3,26,14,1,154,11.7,1371,19:35,32,45,496,548,47.5,Ryan,Strome,994,1041,48.8,3.2,787,785,50.1,3.9,12.2,91.8,104.0,53.0,47.0,14:22,27,54,10.1,241,63.9
Ryan Suter\suterry01,35,MIN,D,69,8,40,48,-6,12,6.4,6,2,0,2,24,16,0,111,7.2,1700,24:38,93,48,0,0,,Ryan,Suter,1295,1287,50.2,1.1,949,994,48.8,-1.5,10.4,89.9,100.3,49.5,50.5,19:08,19,27,2.5,253,43.9
Sam Bennett\bennesa01,23,CGY,C,52,8,4,12,-1,36,1.0,8,0,0,0,3,1,0,82,9.8,651,12:31,13,101,89,83,51.7,Sam,Bennett,571,569,50.1,-1.1,417,432,49.1,-1.3,6.2,94.3,100.5,47.9,52.1,11:21,19,22,1.9,150,54.7
Sam Carrick\carrisa01,27,ANA,C,9,1,1,2,-3,0,0.0,0,0,1,0,1,0,0,16,6.3,124,13:46,8,13,33,39,45.8,Sam,Carrick,98,81,54.7,9.2,76,59,56.3,12.1,5.7,86.0,91.7,52.8,47.2,12:08,1,5,0.0,26,61.5
Sam Lafferty\laffesa01,24,PIT,C,50,6,7,13,5,23,1.3,6,0,0,1,7,0,0,56,10.7,481,9:37,17,95,117,119,49.6,Sam,Lafferty,351,386,47.6,-3.5,272,295,48.0,-3.5,7.9,95.0,103.0,36.3,63.7,8:57,17,12,-4.1,85,65.9
Sam Reinhart\reinhsa01,24,BUF,C,69,22,28,50,-15,20,4.5,17,5,0,2,21,7,0,144,15.3,1423,20:38,27,36,40,72,35.7,Sam,Reinhart,1114,1029,52.0,4.0,865,832,51.0,3.3,9.5,89.6,99.1,59.1,40.9,17:04,21,33,-5.5,271,53.1
Sam Steel\steelsa01,21,ANA,C,65,6,16,22,-13,20,0.8,5,1,0,1,9,7,0,85,7.1,1011,15:33,25,24,369,365,50.3,Sam,Steel,772,810,48.8,1.2,590,641,47.9,-0.1,6.8,91.9,98.7,57.5,42.5,13:14,25,37,-8.9,168,50.6
Sami Niku\nikusa01,23,WPG,D,17,0,5,5,-2,12,0.6,0,0,0,0,5,0,0,27,0.0,275,16:10,19,16,0,0,,Sami,Niku,222,288,43.5,-7.6,161,227,41.5,-8.2,6.8,93.5,100.4,51.6,48.4,15:34,2,11,-4.5,43,62.8
Sami Vatanen\vatansa01,28,NJD,D,47,5,18,23,-12,22,3.2,4,1,0,0,8,9,1,95,5.3,1022,21:45,80,50,0,0,,Sami,Vatanen,685,747,47.8,0.0,507,559,47.6,-1.3,7.9,89.7,97.6,50.1,49.9,16:21,14,24,-4.4,200,47.5
Sammy Blais\blaissa01,23,STL,LW,40,6,7,13,-2,20,1.0,6,0,0,1,7,0,0,56,10.7,503,12:35,15,155,0,0,,Sammy,Blais,395,399,49.7,-1.0,307,304,50.2,-0.7,7.4,92.0,99.4,48.3,51.7,11:38,12,18,3.2,86,65.1
Samuel Girard\girarsa01,21,COL,D,70,4,30,34,1,17,4.6,3,1,0,1,18,12,0,96,4.2,1492,21:19,92,46,0,0,,Samuel,Girard,1295,1187,52.2,1.4,940,904,51.0,-0.2,8.6,92.0,100.6,53.7,46.3,18:27,38,39,4.4,247,38.9
Samuel Morin\morinsa01,24,PHI,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,13,12:32,0,2,0,0,,Samuel,Morin,11,16,40.7,-18.2,7,15,31.8,-22.9,0.0,90.9,90.9,71.4,28.6,12:32,1,2,-1.4,0,
